tweets,sentiment,class
"Hilton Undercounter Washbasin (37x47)
https://t.co/yZmUx8H7xS

#hilton #undercounter #washbasin #37x47 #washbasins",0.0,0
"RT @cppluxury: Major airlines like #Emirates &amp; #TurkishAirlines still operate to flights to Russia. 

All major luxury hotel chains with a…",0.3612,1
RT @LOrion: @IanPannell @ZelenskyyUa @Yale ESPECIALLY #Hilton #Hyatt #Marriott .. also #BurgerKing whose OLIGARCH owner was just revealed i…,0.0,0
Paris Hilton in versione cartoon per la terza stagione delle Rainbow High -  #Paris #Hilton #versione #cartoon  https://t.co/tKw6To6ae7,0.0,0
Companies still doing #Business in Russia  Including #Hilton  https://t.co/1FWhcs3bjQ,0.0,0
"The Hilton Garden Inn Providence is the perfect place to stay when visiting Providence. This hotel offers stunning views of the harbor, on-site dining, and complimentary Wi-Fi.

Book Now 👉https://t.co/UWUqEp5eV3

#HiltonGardenInn #AmericanHotels #Hilton https://t.co/caCUgjn7lP",0.8481,1
RT @Home2Warminster: #H2 #Hilton #Spring #home2suites #warminster #hotels #season #warmweather Happy 1st Day of Spring!! It’s our TEAMS fav…,0.6467,1
DoubleTree by #Hilton Wroclaw https://t.co/YFES9MfcSv #breslau #doubletreebyhilton #fünfsterne,0.0,0
Sad to hear that @HyattConcierge #hyatt is still supporting Russia and Putin’s war. I expect it from @HiltonHotels #Hilton and @Marriott #Marriot. Let’s name and shame @thepointsguy,-0.802,-1
"We at Brillare Plumbing understand that our Hilton customers are always busy and that #plumbing issues, like #leaking taps and toilets, always arise at the worst of times. We provide #Plumber #Hilton service to our clients.
 Learn more: https://t.co/viQz0b2AUf https://t.co/jjAGLDFxcu",-0.3818,-1
"Hilton To Open 15 New Hotels In Mexico This Year

https://t.co/MQOe2VvdVK

#hilton #hotels #mexico",0.0,0
"Together We...
Together We Rise
Together We Collaborate 
Together We connect &amp; Commit
Together We Shine
Together We Achieve &amp; Inspire
#Hilton #HiltonTogether https://t.co/67OWJSgahU",0.7096,1
Nothing feels like #Hilton https://t.co/Z9CZu8QQ1O,-0.2755,-1
"Incase anyone else wants to sue @HamptonByHilton in denver

The info you need is in the pic

They still owe me $250

#Hamptoninn #denver #Hilton #hamptonbyhilton #colorado #lawsuit #hotels #denverhotels https://t.co/w43bUyppn5",0.0,0
#hamptoninncookesvilletn #hamptoninn #hiltonhonors #hilton. Disgusting experience last night as we checked in to our supposedly clean hotel room. https://t.co/qHMcA5J3MI,-0.1779,-1
Has anyone ever bought into Hilton Grand Vacations or know someone who has? My wife and I went to a presentation and my wife is interested- we didn’t buy but my wife is seriously considering it and I want to wait and do due diligence. #hilton #timeshare #vacation,0.3071,1
I love #Hilton during Juicy Wiggle!,0.6696,1
"#Wedding photography at #Hilton Puckrup Hall #Tewkesbury, #Gloucestershire 
https://t.co/ffnq1gFhaF https://t.co/pIW9TXzJc5",0.0,0
"RT @ACRMtweets: We are all overdue to reconnect in-person
Join us at the #ACRM Cocktail Party at #Chicago #Hilton during #ACRMSpring2022
Ev…",0.5994,1
"#Hilton network will provide 1 million rooms in its hotels for Ukrainians fleeing the war. 

One person can get a free reservation for 5 nights in one of the 200 hotels in Europe according to the new company’s policy. 

#stoprussia 
#RuSSiaKills 
#WarCrimes https://t.co/Zhh9xWXDXa",-0.1531,-1
"RT @th3nft: The birthday of the Princess @ParisHilton has been minted as an #NFT on @opensea 

https://t.co/w0ySvETZyG 

#nfts #NFTCommunit…",0.0,0
"Arabian adventure Every day is an adventure at Hilton Ras Al Khaimah Beach Resort.

Contact us for best deals!
bookings@selectmyflight.com
Mobile: +971 50 968 3400
WHATSAPP on the same

#selectmyflight #dubai🇦🇪 #tourism #traveltodubai✈️ #hilton #hiltonrasalkhaimahresortandspa https://t.co/RRrWhHhDNM",0.8439,1
RT @_christiankrogh: #Catepillar #City #Hyatt #Nestlé #Hilton #Mariott   #hitachi #Samsung #LG #Sony #Toyota  #Sumitomo  #Japantobaco Compa…,0.0,0
"Will you consumer boycott firms staying in Russia?

#Renault #Auchan #LeroyMerlin #Nestle #Acer #Danone #Decathlon #DPD #Oriflame #Pirelli #RedBull #Metro #Mazda #Mars #Mariott #Linde #Koch #Hilton #HSBC #Hyatt #Bayer #BASF #BNP #Abbott #CreditSuisse #Nokian #Sanofi #Schlumberger",-0.3182,-1
RT @DeirdreMooney: Brilliant practical help from Hilton Hotels. They offer up to 5niggts free accommodation to 🇺🇦 Ukrainian refugees. The l…,0.8689,1
"A really well-located @HamptonByHilton coming with some issues still make a rather good stay: here are my thoughts about Hampton by Hilton Stuttgart City Centre:

https://t.co/cNnjmr0xg4

#stuttgart #hamptonbyhilton #hilton #hotel #hotelreview",0.4404,1
"What’s better than a night at the Hampton Inn Hallandale Beach Aventura? Waking up with unlimited spending potential. Register and earn Bonus Points by visiting us anytime through May 1!

#hiltonhonors #vacation #hotel #hilton #florida #southflorida #travel #booknow #travelmore https://t.co/LmefPc3YgH",0.7712,1
"We are all overdue to reconnect in-person
Join us at the #ACRM Cocktail Party at #Chicago #Hilton during #ACRMSpring2022
Everyone from the #rehabilitation community invited
Join the fun &amp; enjoy a selection of hors d’oeuvres &amp; cash bar
Friday 29 April
RSVP https://t.co/dgjAH3Tloq https://t.co/varZOQLaXE",0.9118,1
"Most Epic #Adventures, #TikTok #Financial Advice, New #Hilton Offers, #Money Rules - #Travel Blogger Buzz https://t.co/8haf2wc754 https://t.co/cp4cm9vjNP",0.0,0
@MrNovusOrdo @squad3o3 @YourAnonNews #Hilton and #Marriott hotels are also still doing business in Russia.,0.0,0
"Yo @ParisHilton check out this custom 1/1 tribute Hppr that @shakkablood has made for you!! 

Peep the cute pooch! And the Paris necklace! And the pearls. 

It's so good!! 

#ParisHilton #paris #hilton #NFTCommmunity #BAYC https://t.co/Zv1OfEZffg",0.8364,1
"@Schjei Are you the GM for Embassy Suites South Anaheim? If so, I need to speak with you ASAP #EMBASSYSUITES #HILTON",0.0,0
"RT @FedeLion44: @ParisHilton
We love you 💜💜💜💜😍
#GrimaceCoin #Grimace
#Paris #Hilton https://t.co/EDPOzA7L7e",0.6369,1
"Looking to plan your next conference? Looking for a centrally located wedding reception venue? Hilton Garden Inn Thornton has the space fit to create your perfect event. Call them with the number below and start planning now!

📞303-255-1000

#SpiritHospitality #Hilton https://t.co/XyTyI8F29D",0.8501,1
"You are loved, cared for, appreciated beyond measure.” To all Mothers, we wish you a happy and healthy Mother’s Day!

#Hilton #Hiltonmoments #Hiltonmemories #staywithus #Mothersday #Mothersday2022 https://t.co/9HAo58fEpy",0.9606,1
"Brilliant practical help from Hilton Hotels. They offer up to 5niggts free accommodation to 🇺🇦 Ukrainian refugees. The link mentioned in the pic is 

https://t.co/D5AA7EORLb
 #hilton #help #hotels #saveukraine https://t.co/nWKxek7XRB",0.8689,1
"Stay connected with work or loved ones in our conveniently located Business Center. 
#Hilton #HappyMonday #Houston #Hotel #BusinessCenter https://t.co/YnX3zmx6Ri",0.5994,1
Aloha POS Swipe Cards https://t.co/GBVaJ29xxK #Zaxbys #IHOP #Sonicdrivein #Hilton #Marriott #Cymarriott #ritzcarlton #Hotel #Hotels #restaurants #eatatperkins #HiltonGardenInn #HGI #Friendlys #eatatperkins #shakeshack #hyatthotels #hyattregency #perkinsrestaurant #raisingcanes https://t.co/GKziy7IjP0,0.0,0
"GD TRAVEL NEWS - Hilton is to open a new hotel under its Canopy by Hilton brand in central Cannes, France. The 143-room hotel will be a short walk from the beaches and the Old Port and the Palais des Festivals, famous for its film and television festivals
#cannes #hilton #hotel https://t.co/Vcf6n2JxOA",0.6124,1
Throwback to when I met the owner of my favorite @NBA team and also my favorite Cruise line @MickyArison #PeepTheChampionshipRing #GOAT #MiamiHeat #CarnivalCruiseLines #Hilton @_sports365 https://t.co/pQ1OhQ6QR7,0.7184,1
#H2 #Hilton #Spring #home2suites #warminster #hotels #season #warmweather Happy 1st Day of Spring!! It’s our TEAMS favorite time of year https://t.co/i1ApgZBA10,0.8065,1
Evention looks forward to spending time with our @Hilton clients at the Hilton Americas Finance Conference this week! #AFCBrighterTogether #Hilton https://t.co/q4LPIKu0MO,0.0,0
"@ParisHilton the Hppr community wants you. 

I feel like this Hppr is a great fit? ⭐ 💗 Nice jacket, pink af, badie. 

https://t.co/zS32ljSs0E

#parishilton #hilton #quay https://t.co/1hw9fuHiEz",0.8979,1
The companies still doing business in Russia despite Ukraine invasion | ITV News #hilton #marriot #nestle #mars  https://t.co/JeR7UOnWSH,0.0,0
RT @christhejason: Killer stuff by Sharanya Gopinath and blessonjoe :) #FlairConsultancies #Hilton #LoungeMusic… http://t.co/NCuAj6X30g,-0.3182,-1
The meet and greet for the #nationalcoalitionofblackmeetingplanners was an awesome event and a great way to go out and engage new people during #GWOE for #Hilton. https://t.co/NFhlWPHlH4,0.9169,1
"The birthday of the Princess @ParisHilton has been minted as an #NFT on @opensea 

https://t.co/w0ySvETZyG 

#nfts #NFTCommunity #nftcollection #datetoken #nftseries #parishilton #hilton #heiress #birthday https://t.co/4sK9bsselF",0.0,0
Steve #Hilton: Xi Jinping picked the wrong side - https://t.co/HmK8d0B9eM - #China #Revolution #SteveHilton #XIJinping,-0.4767,-1
RT @JLowPhotos: I've converted a photo I took of the lighthouse at Hale Head near Widnes into a drawing using app on my  #Hale #Head #Light…,0.0,0
"10 Major U.S. Brands Still in @Russia include #Hilton, @Hyatt and @Marriott.
https://t.co/6X0iO4NnUl",0.0,0
@LatestAnonPress I'm still waiting for replies from #Nestlecare and #Hilton hotels who are both still operating in Russia. #Russia. #SupportUkraine #boycottnestle #BoycottRussia,0.0,0
"We can't get over how gorgeous our new Botanika accommodations are.  You'll need to come down to visit to see for yourself.

#luxury #botanika #hilton #curiocollection #paradise #costarica #puravida #crocodilebay https://t.co/5uLf8q7wvC",0.6124,1
"We are #hiring.  I am looking for a Coordinator/Admin with #Hilton experience for our hotel in #SilverSpring.  Must know OnQ, Delphi FDC and RNI.  Please DM me if you or someone you know would be a good fit. #hotel #experience",0.7717,1
Strollin' #sidesalad #balsamicdrizzleshrimpsalad #filetmignonsliders #fries #paseobar #salad #shrimp #filetmignon #estanciadelnortehotel #hiltontapestrycollection #hilton #latepost https://t.co/bGzWCW2XR8,0.0,0
"Been learning the importance of rejuvenation. Make sure you spend some intentional time with yourself for yourself and with family. 

While you’re working the garden, don’t forget to enjoy the garden. 

#FamilyTime #springbreak2022 #Golf #Hilton https://t.co/Dtq6aA1EgG",0.7269,1
"RT @BouldersResort: ""Beautiful sunsets need cloudy skies""-Paulo Coelho. You can enjoy these views while you work at our legendary resort. N…",0.7964,1
RT @georgettelake: We are #hiring.  I am looking for a Coordinator/Admin with #Hilton experience for our hotel in #SilverSpring.  Must know…,0.0,0
Witty Jimmy John's Commercial Filmed at Hotel del Coronado https://t.co/AQ8DUViiSs via @coronadoisland #sandiego #hilton,0.0,0
I suggest you don't stay at @Hilton. They do not answer for the incompetence of their staff . They lost our luggage 20 days ago and they have not taken responsibility. thousands of dollars and they don't answer emails or phone calls #hilton @HiltonHotels #thief @DoubleTree https://t.co/Mfl1tl83Mt,-0.6808,-1
Absolutely appalled by #DoubleTree by #Hilton,-0.5095,-1
"RT @HiltonPyramidsG: Don't miss this epic match! Egypt Vs Senegal on March 25th at OB's bar.
And Enjoy our special menu for fine selection…",0.8144,1
tonight’s location and view ☀️🤩 #AgeasBowl #Hilton #view #stunning #sunset https://t.co/Fn6y5NlpWB,0.0,0
#Receptionist P/T 24 hrs pw #Hilton Hotel #Croydon @HiltonHotels https://t.co/dJeHcISZ4I #Jobs #CustomerServiceJobs #HospitalityJobs #AdminJobs #HotelJobs #SM1Jobs #SuttonJobs,0.0,0
POS Swipe Cards https://t.co/GBVaJ29xxK #Zaxbys #IHOP #Sonicdrivein #Hilton #Marriott #Cymarriott #ritzcarlton #Hotel #Hotels #restaurants #eatatperkins #HiltonGardenInn #HGI #Friendlys #eatatperkins #shakeshack #hyatthotels #hyattregency #perkinsrestaurant #raisingcanes https://t.co/nQcuLN64Ak,0.0,0
#HotelsResorts #Hilton Hilton to Debut in Cannes https://t.co/OW2c4UdvWX https://t.co/1ey5qttYcU,0.0,0
RT @Disneyfan9523: Plus With A One Night Stay At The Homewood Suites By Hilton Anaheim Resort - Convention Center! #Disneyland #DisneyCalif…,0.0,0
"RT @HiltonPyramidsG: You are loved, cared for, appreciated beyond measure.” To all Mothers, we wish you a happy and healthy Mother’s Day!…",0.9606,1
Shot on Samsung Note 10  #Summer #Gazebo #Beach #Beachvibes #Beautifuldestination #Dwsphotography #Dewanderersoul #WanderlustXL #Hilton #Huts #Clickasnap #Travel #Travelrepost #Traveltribe #TravelPhotography https://t.co/qSglpDium4,0.0,0
"The Power of Now At Transcorp Hilton, Abuja

On March 24-26 join our amazing team to discuss studying abroad and immigration among other important things for your child's future.

#Transcorp #Hilton #immigration #Abuja #SOC #SouthernOntarioCollegiate #Cradle2Harvard #Canada #Visa https://t.co/Bt9OaMeYQh",0.7783,1
"RT @CoinsCapture: News : Paris Hilton to Host a Live DJ Session in The Sandbox Metaverse.

Socialite and fashion icon, Paris Hilton has ann…",0.0,0
"@ParisHilton
We love you 💜💜💜💜😍
#GrimaceCoin #Grimace
#Paris #Hilton https://t.co/EDPOzA7L7e",0.6369,1
@HiltonGardenInn at @LA_DoubleTree by @hilton didn't deliver my luggage. It happened two weeks ago and they have not resolved me. They don't answer me anymore. I have already communicated by DM with you and you don't care. #Hilton #thief #sucks @LA_DoubleTree @DoubleTree @HiltonHotels,-0.4847,-1
"https://t.co/dd7TGk5WG5, https://t.co/hxq7Qo2t7U, BBA, MBA Vacancy at Hilton https://t.co/Mgcf7TM8s6 #JOBS #BCOM #BBA #HILTON Twitter @castudycafe https://t.co/rWkqq1cGcW",0.0,0
"Major airlines like #Emirates &amp; #TurkishAirlines still operate to flights to Russia. 

All major luxury hotel chains with a presence in #Moscow operate still normally

Major hotel groups like #Accor, #IHG, #Hilton and #Marriott conduct business as usual 

#Ukraine #SaveUkraine https://t.co/RVXtWvbbIr",0.6124,1
KiltronX Live-Free Bedbug Dryer Strips- 60 Dryer Loads plus “Lightening” 30 second bug spray killer &amp; #Laundry #Detergent Poison Free #CA #AZ #WI #MI #OK #OH #PA #TX #NV #FL #Orlando #Jacksonville #NC #SC #VA #AAA #Travel #SpringBreak #Home #EV #Hilton   https://t.co/2mU9V55ZpJ,-0.6705,-1
Nothing like a massage on the beach!!! #Beach #vacation #StarGirl #BigMama #Me #Day #Views #Peaceful #Jamaican #Gyal #Mississippi #Thick #Spa #SpaDay #Hilton #Honors #Jamaica #RoseHall https://t.co/iWoowdLVhP,-0.4563,-1
"RT @castudycafe: https://t.co/dd7TGk5WG5, https://t.co/hxq7Qo2t7U, BBA, MBA Vacancy at Hilton https://t.co/Mgcf7TM8s6 #JOBS #BCOM #BBA #HIL…",0.0,0
I Had A Magical Stay At The Homewood Suites By Hilton Anaheim Resort - Convention Center! And The Rooms Are Amazing! #Disneyland #DisneyCaliforniaAdventure #Disney #WaltDisney #MickeyMouse #MinnieMouse  #WaltDisneyCompany #MagicKey  #HomewoodSuites #HomewoodSuitesAnaheim #Hilton https://t.co/YEXZW2ciTQ,0.658,1
#HiltonLabriz #Seychelles have a new Giant Tortoise Sanctuary which allows young tortoises to grow. And to educate guests. Once this size the tortoise is released back to the wild of Silhouette Island where the hotel is located. @dscvranimals #Hilton  @GoodResultsPR https://t.co/kjRXwb2ss6,0.0,0
"Happy birthday to me @DoubleTree @HiltonHonors ....

#ShafiqGhazie #HappyBirthday #lifestyle #fashion #fitness #travel #hilton #RETWEEET #motivation #quote #photo #chocolate https://t.co/myl8g8xecD",0.5719,1
"News : Paris Hilton to Host a Live DJ Session in The Sandbox Metaverse.

Socialite and fashion icon, Paris Hilton has announced a special DJ performance tonight at The Sandbox...

Read more : https://t.co/tAQVlLptem
#Paris #Socialite #DJ #fashion #Sandbox #Hilton https://t.co/HxDSRfnNfl",0.4019,1
"#Hilton to launch #Canopy brand in #Cannes in French Riviera. @HiltonHotels says hotel, with 143 rooms &amp; suites, most with balconies &amp; sea views, to open in 2023. Hotel will have with rooftop terrace bar &amp; pool. Hilton already has @RadissonBlu in Cannes. #IO @Cannes_France https://t.co/SAN3zphP8L",0.6369,1
"[4K #Okinawa walk] Take a walk from ...
 
https://t.co/lvqo2qxgcf
 
#Amex #DJI #Goroトラベル #Hilton #Hotel #Lake #Luxualy #Marriott #Ok https://t.co/MN812mzoV0",0.0,0
"We had a great time at this weekend's NADA Show! Thank you to everyone who attended our event at Eight Lounge. 🥂
#FoxDealer #NADA #NADASHOW #LasVegas #EightLounge #Hilton https://t.co/UnJ2zHaOUj",0.784,1
"Hilton Undercounter Washbasin (44x56)
https://t.co/h34t9LpA9u

#hilton #undercounter #washbasin #44x56 #washbasins",0.0,0
"Happening tomorrow night, 3/24! Have you made your reservation yet? https://t.co/8CePjdWHQa
#Jazz88 #KBEM #Jazz88Night #Umbra #Canopy #Hilton #downtown #Minneapolis #MillDistrict #liveradio #broadcast #support #local #AfternoonCruise #JazzFutures #jazz #blues #music https://t.co/sMUXTrKMR4",0.0,0
"Hilton set to launch Canopy by Hilton brand in Cannes
@canopybyhilton
#CanopybyHiltonCannes #Cannes #Hilton #newhotel  https://t.co/7GH3ziQy5z",0.0,0
"#Hilton #hotel chain offers free accommodation for #Ukrainians 
Hilton network will provide 1 million rooms in its hotels for #Ukrainians fleeing the war. 
One person can get a free reservation for 5 nights in one of the 200 hotels in #Europe according to the new company’s policy https://t.co/mLF170lgRs",0.4019,1
Hey @ParisHilton you got a nice place here... #SanLuisPotosi #Hilton #LincolnTheTravelingDog https://t.co/OW6945lHhG,0.4215,1
"Hilton Undercounter Washbasin (42x52)
https://t.co/0TgFN7tISd

#hilton #undercounter #washbasin #42x52 #washbasins",0.0,0
"Don't leave your furry friend at home! You can bring your pup with you to our pet friendly home. 🐶

For Luxury Vacation Rentals
💌 reservations@themarucagroup.com
📞1 305 704 8404

#PetFriendlyHotel #PetFriendly #hotel #HiltonHotels #Hilton #HiltonGardenInn #PetFriendlyTravel https://t.co/31TBLXGbIb",0.7808,1
"Dive right into happiness as you enjoy our stately amenities and unique hospitality at Conrad Bengaluru.  

For bookings, please contact:
+91 80 2214 4444

Image credits: Waseem Khan

#ConradBengaluru #HiltonHospitality #WeAreHilton #HiltonHonors #Hilton #StayInspired https://t.co/u4853wiA9z",0.891,1
"The list of shame:
https://t.co/0bkTCy1x5t
#UkraineRussiaWar -- #Boycott: #KochNetwork #Subway #Carvel #Schlotzsky #ProctorGamble #Hilton #Hyatt #Marriot #Accor #YumBrands #PizzaHut #TacoBell #KFC #DunkinDonuts #GeneralMills #Mondelez #Oreo  #MarsCandy #DeutscheBank #Metro &amp; more",-0.4767,-1
"RT @HilstonPark: Day 3 of adventures at Hilston Park with @_DWIJ_ .

#fun #Hilton #adventuresbegan https://t.co/loeok1vyoY",0.34,1
"@thalia @worldofwomennft this is so hype for women , this is our chance 
lets join it 
@Peng_CPH
@boey43293217
#hilton #ThalyWOW",0.4939,1
"Eastern Region Social on April 28 and 29 in Raleigh, NC
#raleighnc #raleigh #NorthCarolina #cigars #NC #EasternRegion #ipt1963 #iotaphitheta #Hilton #Doubletree #triangle #Durham #RDU https://t.co/yLkrKslUgT",0.0,0
"Are @hilton hotels among those with staff involved in human trafficking? Why did someone attempt to open my room door, WITH the fucking keycard, at 12.50am? I called the front desk and they offered me points or drinks. One word. REFUND. 
#SoloTravel #WomenTravel #Travel #Hilton",0.0,0
RT @BuiltByFirmo: A beautiful #Florida sunrise at our @HamptonByHilton site in #FortMyers to start the week off right! Thank you to the pho…,0.7712,1
"@HamptonByHilton 

Gotta add the Google review too

#Google
#Google reviews
#Hampton
#Hilton 
#hamptonbyhilton #denver #colorado #denverhotels https://t.co/N9NCkHeylJ",0.0,0
I've converted a photo I took of the lighthouse at Hale Head near Widnes into a drawing using app on my  #Hale #Head #Lighthouse #Hilton #Widnes #Drawing #DigitalArt #Photography #Architecture #Grass #Buildings #Landscape https://t.co/7WGObqBfu9,0.0,0
"#Speakman's Neo Diverter Tub Spout may not be a toy, but, just like a child, it'll make you shout for joy. Give that old bathroom a fond farewell by upgrading it with the spout used in #Hilton's hotels. #WorldPoetryDay https://t.co/iJNJaRaGH9 https://t.co/JAi1ocR9DP",0.9231,1
"RT @SouthernOntColl: The Power of Now At Transcorp Hilton, Abuja

On March 24-26 join our amazing team to discuss studying abroad and immig…",0.7184,1
"It's Back!  Roll Up To Win™ with Tim Hortons and Hilton 🤩🥳 You can Roll Up a 6-night stay in sunny Florida! ☀️   #rolluptowin #timhortons #hilton #florida

https://t.co/haznDmmCMy https://t.co/Dara72Wsa2",0.5242,1
